pk_1,pk_2,pk_3,pk_4,pk_5,data_1,data_2
236,1122,22,12197,100012466,27,510.57
236,1381,22,12197,100012466,257,4828.73
236,1383,22,12197,100012466,210,3921.69
236,1384,22,12197,100012466,24,452.61
236,1385,22,12197,100012466,23,411.3
236,1386,22,12197,100012466,155,2889.91
236,1582,22,12197,100012466,281,5216.71
236,1583,22,12197,100012466,107,2011.71
236,1584,22,12197,100012466,156,2719
236,1559,22,12197,100012466,15,282.71
236,1011,22,11039,100012741,33,273.66
236,1012,22,11039,100012741,19,157.31
236,1015,22,11039,100012741,13,107.82
236,1016,22,11039,100012741,4,33.22
236,1026,22,11039,100012741,22,182.27
236,1028,22,11039,100012741,33,273.59
236,1039,22,11039,100012741,8,66.46
236,1040,22,11039,100012741,1,8.29
236,1043,22,11039,100012741,8,66.52
236,1044,22,11039,100012741,9,74.83
236,1058,22,11039,100012741,1670,13823.64
236,1119,22,11039,100012741,13,107.96
236,1120,22,11039,100012741,23,190.81
236,1121,22,11039,100012741,15,124.31
236,1122,22,11039,100012741,16,132.7
236,1381,22,11039,100012741,28,232.11
236,1383,22,11039,100012741,19,157.66
236,1384,22,11039,100012741,13,107.82
236,1385,22,11039,100012741,12,96.9
236,1386,22,11039,100012741,7,58.01
240,1036,22,11039,100012741,10,111.1
240,1045,22,11039,100012741,12,133.49
240,1068,22,11039,100012741,4,44.23
244,10071,22,11039,100012741,553,3268.19
244,10081,22,11039,100012741,306,1812.76
244,10082,22,11039,100012741,45,266.41
196,10298,22,11039,100012741,540,14465.02
196,10299,22,11039,100012741,38,1017.57
196,10300,22,11039,100012741,37,991.07
196,10301,22,11039,100012741,10,263.35
196,10319,22,11039,100012741,25,669.66
196,10320,22,11039,100012741,4,107.14
196,10322,22,11039,100012741,31,830.34
196,10350,22,11039,100012741,15,361.69
196,10308,22,11039,100012741,10,267.83
196,10334,22,11039,100012741,14,374.9
196,10335,22,11039,100012741,10,263.16
236,1582,22,11039,100012741,23,190.87
236,1583,22,11039,100012741,31,257.26
236,1584,22,11039,100012741,7,58.13
240,1077,22,11039,100012741,48,530.98
215,983,22,11007,100012839,360,6055.58
215,1002,22,11007,100012839,32,537.17
215,1003,22,11007,100012839,81,1343.97
223,1578,22,11007,100012839,10,16355
223,1639,22,11007,100012839,204,343821
236,1011,22,11007,100012839,74,1561.57
236,1012,22,11007,100012839,83,1745.9
236,1015,22,11007,100012839,35,738.62
236,1016,22,11007,100012839,27,568.79
236,1026,22,11007,100012839,76,1594.27
236,1028,22,11007,100012839,118,2476.26
236,1039,22,11007,100012839,26,548.3
236,1040,22,11007,100012839,36,757.84
236,1043,22,11007,100012839,16,337.54
236,1058,22,11007,100012839,6283,131686.71
236,1119,22,11007,100012839,12,251.51
236,1120,22,11007,100012839,67,1407.54
236,1121,22,11007,100012839,2,41.98
236,1122,22,11007,100012839,20,420.5
236,1381,22,11007,100012839,50,1050.24
236,1383,22,11007,100012839,23,483.54
236,1384,22,11007,100012839,7,146.83
236,1385,22,11007,100012839,28,588.05
236,1386,22,11007,100012839,243,5115.73
240,1036,22,11007,100012839,7,156.63
240,1045,22,11007,100012839,19,425.76
240,1068,22,11007,100012839,1,20.66
244,10071,22,11007,100012839,961,14205.28
244,10081,22,11007,100012839,513,7661.02
244,10082,22,11007,100012839,78,1147.17
223,1421,22,11007,100012839,12,20226
196,10298,22,11007,100012839,11172,547994.62
196,10299,22,11007,100012839,301,14738.53
196,10300,22,11007,100012839,79,3854.44
196,10301,22,11007,100012839,20,998.5
196,10310,22,11007,100012839,11,827.68
196,10319,22,11007,100012839,49,2379.68
196,10320,22,11007,100012839,48,2340.19
196,10322,22,11007,100012839,497,24351.4
196,10349,22,11007,100012839,9,651.37
196,10350,22,11007,100012839,21,1566.91
196,10308,22,11007,100012839,98,4805.1
196,10334,22,11007,100012839,124,6024.78
196,10335,22,11007,100012839,25,1197.97
236,1582,22,11007,100012839,26,546.17
236,1583,22,11007,100012839,38,799.35
236,1584,22,11007,100012839,50,1052.04
236,1559,22,11007,100012839,12,251.8
240,1077,22,11007,100012839,36,803.46
236,1011,22,11013,100012911,13,128.36
236,1012,22,11013,100012911,22,217.02
236,1015,22,11013,100012911,16,157.76
236,1016,22,11013,100012911,7,68.99
236,1026,22,11013,100012911,23,226.89
236,1028,22,11013,100012911,17,168.08
236,1039,22,11013,100012911,12,117.87
236,1040,22,11013,100012911,17,167.13
236,1043,22,11013,100012911,11,108.4
236,1044,22,11013,100012911,6,58.25
236,1058,22,11013,100012911,625,6152.14
236,1119,22,11013,100012911,10,98.19
236,1120,22,11013,100012911,12,118.18
236,1121,22,11013,100012911,12,118.26
236,1122,22,11013,100012911,11,108.58
236,1381,22,11013,100012911,14,138.37
236,1383,22,11013,100012911,11,108.4
236,1384,22,11013,100012911,5,49.41
236,1385,22,11013,100012911,7,68.64
236,1386,22,11013,100012911,5,49.39
244,10071,22,11013,100012911,141,987.46
244,10081,22,11013,100012911,78,548.74
244,10082,22,11013,100012911,36,248.04
196,10298,22,11013,100012911,4440,76024.46
196,10299,22,11013,100012911,95,1635.68
196,10300,22,11013,100012911,70,1222.99
196,10301,22,11013,100012911,26,951.27
196,10310,22,11013,100012911,12,448.23
196,10319,22,11013,100012911,29,502.72
196,10320,22,11013,100012911,7,129.42
196,10322,22,11013,100012911,126,2175.43
196,10350,22,11013,100012911,16,590
196,10308,22,11013,100012911,28,483.06
196,10334,22,11013,100012911,28,482.29
196,10335,22,11013,100012911,21,549.05
236,1582,22,11013,100012911,10,98.88
236,1583,22,11013,100012911,21,207.17
236,1584,22,11013,100012911,11,104.65
236,1011,22,11044,100013109,1,16.65
236,1012,22,11044,100013109,7,114.06
236,1015,22,11044,100013109,5,83.45
236,1026,22,11044,100013109,9,146.85
236,1028,22,11044,100013109,7,113.53
236,1058,22,11044,100013109,246,3970.72
236,1381,22,11044,100013109,3,50.02
236,1383,22,11044,100013109,4,65.77
236,1386,22,11044,100013109,8,131.26
236,1582,22,11044,100013109,1,16.44
236,1583,22,11044,100013109,8,130.01
236,1026,22,11007,100016151,195,3380.36
236,1028,22,11007,100016151,168,2918.7
236,1040,22,11007,100016151,48,823.32
236,1044,22,11007,100016151,19,326.76
236,1058,22,11007,100016151,6676,117715.73
236,1119,22,11007,100016151,42,724.24
236,1120,22,11007,100016151,26,451.45
236,1121,22,11007,100016151,153,2677.17
236,1122,22,11007,100016151,35,599.27
236,1384,22,11007,100016151,20,350.22
236,1385,22,11007,100016151,56,968.09
236,1386,22,11007,100016151,138,2356.34
236,1582,22,11007,100016151,-5,-118.7
236,1583,22,11007,100016151,75,1297.2
236,1584,22,11007,100016151,39,673.45
215,972,22,11002,100016208,1,112.23
215,983,22,11002,100016208,96,13272.44
215,1002,22,11002,100016208,6,806.71
215,1003,22,11002,100016208,62,7636.95
223,1578,22,11002,100016208,13,146032
223,1639,22,11002,100016208,36,416654
233,1567,22,11002,100016208,161,184323.96
236,1011,22,11002,100016208,39,5262
236,1012,22,11002,100016208,29,3913.24
236,1015,22,11002,100016208,9,1214.47
236,1016,22,11002,100016208,14,1889.18
236,1026,22,11002,100016208,529,71385.97
236,1028,22,11002,100016208,280,37783
236,1039,22,11002,100016208,20,2653.16
236,1040,22,11002,100016208,31,4169.25
236,1043,22,11002,100016208,5,661.72
236,1044,22,11002,100016208,7,935.33
236,1058,22,11002,100016208,2463,332390.55
236,1119,22,11002,100016208,97,13089.29
236,1120,22,11002,100016208,83,11200.3
236,1121,22,11002,100016208,57,7689.69
236,1122,22,11002,100016208,31,4183.25
236,1320,22,11002,100016208,2,269.89
236,1381,22,11002,100016208,23,3102.96
236,1383,22,11002,100016208,21,2824.95
236,1384,22,11002,100016208,42,5667.12
236,1385,22,11002,100016208,39,5259.18
236,1386,22,11002,100016208,379,51141.01
236,1769,22,11002,100016208,798,133602.45
244,10071,22,11002,100016208,524,62701.58
244,10081,22,11002,100016208,175,20917.06
223,1421,22,11002,100016208,8,89945
235,1026,22,11002,100016208,216,229356.03
196,10298,22,11002,100016208,90,40574.92
196,10299,22,11002,100016208,5,2242.23
196,10300,22,11002,100016208,3,1320.28
196,10319,22,11002,100016208,1,440.1
196,10322,22,11002,100016208,17,7663.5
196,10350,22,11002,100016208,5,2027.9
196,10308,22,11002,100016208,7,3084.1
196,10334,22,11002,100016208,10,4311.06
196,10335,22,11002,100016208,7,2980.33
236,1775,22,11002,100016208,300,50289.42
233,1472,22,11002,100016208,-1,-1144.87
175,1069,22,11002,100016208,1295,179812.99
236,1582,22,11002,100016208,63,8321.98
236,1583,22,11002,100016208,254,34270.42
236,1584,22,11002,100016208,144,19392.15
236,1559,22,11002,100016208,18,2301.03
233,1524,22,11002,100016208,82,87086.04
236,1011,22,12219,100016321,14,154.23
236,1012,22,12219,100016321,17,187.48
236,1015,22,12219,100016321,6,63.86
236,1016,22,12219,100016321,7,76.96
236,1026,22,12219,100016321,14,152.81
236,1028,22,12219,100016321,5,55.16
236,1039,22,12219,100016321,13,134.86
236,1040,22,12219,100016321,12,117.43
236,1043,22,12219,100016321,7,68.08
236,1044,22,12219,100016321,11,119.37
236,1058,22,12219,100016321,792,8768.29
236,1119,22,12219,100016321,-2,-20.56
236,1381,22,12219,100016321,8,88.73
236,1383,22,12219,100016321,4,38.25
236,1386,22,12219,100016321,14,154.79
236,1769,22,12219,100016321,228,2559.3
240,1036,22,12219,100016321,7,82.65
240,1045,22,12219,100016321,5,59.04
240,1068,22,12219,100016321,2,24.31
244,10071,22,12219,100016321,70,566.5
244,10081,22,12219,100016321,91,735.86
196,10299,22,12219,100016321,9,346.01
196,10300,22,12219,100016321,9,341.8
196,10319,22,12219,100016321,5,190.97
196,10322,22,12219,100016321,3,114.13
236,1582,22,12219,100016321,6,66.09
236,1583,22,12219,100016321,21,229.64
236,1559,22,12219,100016321,-6,-64.32
236,1011,22,11041,100016499,85,637
236,1012,22,11041,100016499,60,449.67
236,1015,22,11041,100016499,27,202.31
236,1016,22,11041,100016499,1,7.43
236,1026,22,11041,100016499,51,382.23
236,1028,22,11041,100016499,14,104.93
236,1039,22,11041,100016499,12,89.94
236,1040,22,11041,100016499,12,89.95
236,1043,22,11041,100016499,10,74.95
236,1044,22,11041,100016499,16,119.92
236,1058,22,11041,100016499,1549,11606.58
236,1119,22,11041,100016499,15,112.42
236,1120,22,11041,100016499,30,224.84
236,1121,22,11041,100016499,11,82.45
236,1381,22,11041,100016499,10,74.93
236,1383,22,11041,100016499,8,59.99
236,1385,22,11041,100016499,11,82.44
236,1386,22,11041,100016499,12,89.93
244,10071,22,11041,100016499,105,574.69
244,10081,22,11041,100016499,182,992.61
244,10082,22,11041,100016499,16,88.31
196,10298,22,11041,100016499,480,11774.27
196,10299,22,11041,100016499,58,1424.48
196,10300,22,11041,100016499,32,785.82
196,10301,22,11041,100016499,43,1060.26
196,10310,22,11041,100016499,6,148.12
196,10319,22,11041,100016499,33,811.11
196,10320,22,11041,100016499,7,172.23
196,10322,22,11041,100016499,44,1080.12
196,10350,22,11041,100016499,20,495.99
196,10308,22,11041,100016499,23,565.68
196,10334,22,11041,100016499,19,466.74
196,10335,22,11041,100016499,12,295.73
236,1582,22,11041,100016499,21,157.37
236,1583,22,11041,100016499,16,119.89
236,1058,22,12193,100016639,11,178.74
236,1026,22,11041,100016658,82,688.48
236,1028,22,11041,100016658,43,360.98
236,1058,22,11041,100016658,1657,13915.01
236,1119,22,11041,100016658,14,117.53
236,1120,22,11041,100016658,31,260.29
236,1121,22,11041,100016658,101,847.88
236,1122,22,11041,100016658,10,83.93
236,1384,22,11041,100016658,15,125.94
236,1385,22,11041,100016658,16,134.34
236,1386,22,11041,100016658,21,176.29
240,1036,22,11041,100016658,18,170.55
240,1045,22,11041,100016658,10,94.73
240,1068,22,11041,100016658,1,9.47
236,1583,22,11041,100016658,42,352.67
236,1584,22,11041,100016658,8,67.16
240,1077,22,11041,100016658,12,113.73
