pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_match,Data_source_2_match
182,1069,17,11064,120808291,data_1,7.0,7.0
182,1069,17,11064,122130845,data_1,17.0,17.0
182,1069,17,11064,122131108,data_1,9.0,9.0
182,1069,17,11064,122353729,data_1,8.0,8.0
182,1069,17,11064,122497119,data_1,3.0,3.0
182,1069,17,11064,122632139,data_1,3.0,3.0
182,1069,17,11064,122659706,data_1,17.0,17.0
182,1069,17,11064,122661247,data_1,17.0,17.0
182,1069,17,11064,122892168,data_1,8.0,8.0
182,1069,17,11064,122967567,data_1,11.0,11.0
182,1069,18,11740,116432299,data_1,8.0,8.0
182,1069,18,11740,119122548,data_1,22.0,22.0
182,1069,18,11740,119122699,data_1,31.0,31.0
182,1069,18,11740,119446424,data_1,8.0,8.0
182,1069,18,11740,121425116,data_1,10.0,10.0
182,1069,18,11740,121773548,data_1,3.0,3.0
182,1069,18,11740,121776075,data_1,7.0,7.0
182,1069,19,11253,101005559,data_1,6.0,6.0
182,1069,19,11253,101005585,data_1,7.0,7.0
182,1069,19,11253,101005627,data_1,6.0,6.0
182,1069,19,11253,101005635,data_1,5.0,5.0
182,1069,19,11253,101010411,data_1,1.0,1.0
182,1069,19,11253,101010510,data_1,1.0,1.0
182,1069,19,11253,109452191,data_1,6.0,6.0
182,1069,19,11253,109452205,data_1,5.0,5.0
182,1069,19,11253,109456855,data_1,6.0,6.0
182,1069,19,11253,109459072,data_1,5.0,5.0
182,1069,19,11253,109459080,data_1,6.0,6.0
182,1069,19,11253,109459089,data_1,5.0,5.0
182,1069,19,11253,109460488,data_1,4.0,4.0
182,1069,19,11253,109460499,data_1,6.0,6.0
182,1069,19,11253,109460518,data_1,5.0,5.0
182,1069,19,11253,109460550,data_1,6.0,6.0
182,1069,19,11253,109531822,data_1,4.0,4.0
182,1069,19,11253,109580246,data_1,7.0,7.0
182,1069,19,11253,109580297,data_1,8.0,8.0
182,1069,19,11253,109861547,data_1,11.0,11.0
182,1069,19,11253,113159609,data_1,4.0,4.0
182,1069,19,11253,114173160,data_1,7.0,7.0
182,1069,19,11253,114173306,data_1,5.0,5.0
182,1069,19,11253,120586799,data_1,7.0,7.0
182,1069,20,11131,120468889,data_1,3.0,3.0
182,1069,21,12151,109487106,data_1,3.0,3.0
182,1069,21,12151,116446979,data_1,12.0,12.0
182,1069,21,12151,122607226,data_1,2.0,2.0
182,1069,21,14567,101495976,data_1,5.0,5.0
182,1069,21,14567,120590839,data_1,14.0,14.0
182,1069,21,14567,120601279,data_1,1.0,1.0
182,1069,21,14567,120601298,data_1,5.0,5.0
182,1069,21,14567,120601344,data_1,7.0,7.0
182,1069,21,14567,120601395,data_1,4.0,4.0
182,1069,21,14567,120602987,data_1,6.0,6.0
182,1069,21,14567,120603159,data_1,8.0,8.0
182,1069,21,14567,120603207,data_1,9.0,9.0
182,1069,21,14567,120603274,data_1,6.0,6.0
182,1069,21,14567,120603320,data_1,4.0,4.0
182,1069,21,14567,120603329,data_1,5.0,5.0
182,1069,21,14567,120603428,data_1,2.0,2.0
182,1069,21,14567,120611259,data_1,6.0,6.0
182,1069,21,14567,122117075,data_1,2.0,2.0
182,1069,21,14567,122492097,data_1,3.0,3.0
182,1069,21,14567,122523519,data_1,4.0,4.0
182,1069,21,14567,122968129,data_1,6.0,6.0
182,1069,21,14567,122968189,data_1,4.0,4.0
182,1069,21,14567,122968219,data_1,1.0,1.0
182,1069,23,12203,120257015,data_1,5.0,5.0
182,1069,23,12203,120257031,data_1,18.0,18.0
182,1069,23,14412,116885009,data_1,7.0,7.0
182,1069,23,14412,116885379,data_1,7.0,7.0
182,1069,23,14412,116885540,data_1,10.0,10.0
182,1069,24,11019,120101198,data_1,6.0,6.0
182,1069,24,11019,120101228,data_1,4.0,4.0
182,1069,24,11019,120585853,data_1,9.0,9.0
182,1069,24,11137,102775068,data_1,4.0,4.0
182,1069,24,11137,102775343,data_1,8.0,8.0
182,1069,24,11137,108207193,data_1,1.0,1.0
