pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_match,Data_source_2_match
175,1069,27,14015,101369114,data_1,8.0,8.0
175,1069,27,14015,101369114,data_2,106.68,106.68
175,1069,30,13731,101112266,data_1,12.0,12.0
175,1069,30,13731,101112266,data_2,124.76,124.76
175,1069,30,13731,101112324,data_1,3.0,3.0
175,1069,30,13731,101112324,data_2,31.61,31.61
175,1069,30,13731,101112332,data_1,5.0,5.0
175,1069,30,13731,101112332,data_2,51.61,51.61
175,1069,30,13731,101114767,data_1,86.0,86.0
175,1069,30,13731,101114767,data_2,957.61,957.61
175,1069,30,13731,101735504,data_1,9.0,9.0
175,1069,30,13731,101735504,data_2,128.53,128.53
175,1069,30,13731,101826832,data_1,10.0,10.0
175,1069,30,13731,101826832,data_2,189.74,189.74
175,1069,30,13731,101826840,data_1,27.0,27.0
175,1069,30,13731,101826840,data_2,516.67,516.67
175,1069,30,13731,101826857,data_1,2.0,2.0
175,1069,30,13731,101826857,data_2,37.94,37.94
175,1069,30,13731,101826865,data_1,3.0,3.0
175,1069,30,13731,101826865,data_2,60.03,60.03
175,1069,30,13731,109284566,data_1,11.0,11.0
175,1069,30,13731,109284566,data_2,121.16,121.16
175,1069,30,13731,109286364,data_1,11.0,11.0
175,1069,30,13731,109286364,data_2,122.77,122.77
175,1069,30,13731,109286917,data_1,13.0,13.0
175,1069,30,13731,109286917,data_2,143.34,143.34
175,1069,30,13731,109288731,data_1,17.0,17.0
175,1069,30,13731,109288731,data_2,179.28,179.28
175,1069,30,13731,109288774,data_1,6.0,6.0
175,1069,30,13731,109288774,data_2,62.01,62.01
175,1069,30,13731,109288829,data_1,17.0,17.0
175,1069,30,13731,109288829,data_2,174.98,174.98
175,1069,30,13731,109288847,data_1,16.0,16.0
175,1069,30,13731,109288847,data_2,167.56,167.56
175,1069,30,13731,109288944,data_1,10.0,10.0
175,1069,30,13731,109288944,data_2,103.84,103.84
175,1069,30,13731,109288952,data_1,3.0,3.0
175,1069,30,13731,109288952,data_2,32.67,32.67
175,1069,30,13731,109289010,data_1,12.0,12.0
175,1069,30,13731,109289010,data_2,125.88,125.88
175,1069,30,13731,109289099,data_1,7.0,7.0
175,1069,30,13731,109289099,data_2,71.97,71.97
